pointsbanktransactiontype,currentsourcecode,Source Hotel,hotelcode,Destination Hotel,Distinct count of confirmationnumber,bookingvalueusd
Paid Reservation,SBE1436,Asia Gardens Hotel & Thai Spa,LW1449,Abadía Retuerta LeDomaine,1,1597
Paid Reservation,SBE1449,Abadía Retuerta LeDomaine,LW1449,Abadía Retuerta LeDomaine,47,66668
Paid Reservation,SBE1936,Rock House Resort,LW1449,Abadía Retuerta LeDomaine,1,1399
Paid Reservation,SBE3055,The Grand Mark Prague,LW1449,Abadía Retuerta LeDomaine,1,2259
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW2710,Acqualina Resort & Residences on the Beach,1,3400
Paid Reservation,SBE1741,The Hay-Adams,LW2710,Acqualina Resort & Residences on the Beach,1,1782
Paid Reservation,SBE1765,Lowell Hotel,LW2710,Acqualina Resort & Residences on the Beach,2,27556
Paid Reservation,SBE1776,The Rittenhouse,LW2710,Acqualina Resort & Residences on the Beach,1,7242
Paid Reservation,SBE1924,Grace Bay Club,LW2710,Acqualina Resort & Residences on the Beach,1,6390
Paid Reservation,SBE1935,Wymara Resort and Villas,LW2710,Acqualina Resort & Residences on the Beach,1,5540
Paid Reservation,SBE2701,"The Setai, Miami Beach",LW2710,Acqualina Resort & Residences on the Beach,1,7950
Paid Reservation,SBE2710,Acqualina Resort & Residences on the Beach,LW2710,Acqualina Resort & Residences on the Beach,146,702493
Paid Reservation,SBE2750,Mr. C Beverly Hills,LW2710,Acqualina Resort & Residences on the Beach,1,3288
Paid Reservation,SBE7556,Nayara Tented Camp,LW2710,Acqualina Resort & Residences on the Beach,1,1000
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0646,"Airelles Gordes, La Bastide",3,4201
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW0113,Alpin Resort Sacher Seefeld – Tirol,3,5786
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0113,Alpin Resort Sacher Seefeld – Tirol,8,21173
Paid Reservation,SBE0113,Alpin Resort Sacher Seefeld – Tirol,LW0113,Alpin Resort Sacher Seefeld – Tirol,14,30518
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,2224
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,630
Paid Reservation,SBE1626,Baur au Lac,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,943
Paid Reservation,SBE2713,The Kahala Hotel & Resort,LW0113,Alpin Resort Sacher Seefeld – Tirol,1,764
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW2184,Alpina Dolomites,1,1813
Paid Reservation,SBE2184,Alpina Dolomites,LW2184,Alpina Dolomites,23,56873
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW0727,Althoff Hotel am Schlossgarten,1,359
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0729,Althoff Seehotel Ueberfahrt,1,561
Paid Reservation,SBE0703,Excelsior Hotel Ernst,LW0729,Althoff Seehotel Ueberfahrt,1,1739
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW0729,Althoff Seehotel Ueberfahrt,1,613
Paid Reservation,SBE2713,The Kahala Hotel & Resort,LW0729,Althoff Seehotel Ueberfahrt,1,626
Paid Reservation,SBE2860,Emerald Maldives Resort & Spa,LW0729,Althoff Seehotel Ueberfahrt,1,1732
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW7010,Alvear Palace Hotel,2,1615
Paid Reservation,SBE7010,Alvear Palace Hotel,LW7010,Alvear Palace Hotel,44,70235
Paid Reservation,SBE7042,Arakur Ushuaia Resort & Spa,LW7010,Alvear Palace Hotel,1,1380
Paid Reservation,SBE7065,"The Singular Santiago, Lastarria Hotel",LW7010,Alvear Palace Hotel,1,952
Paid Reservation,SBE0250,Le Royal Hotels & Resorts,LW0850,Amathus Beach Hotel Limassol,1,2002
Paid Reservation,SBE0850,Amathus Beach Hotel Limassol,LW0850,Amathus Beach Hotel Limassol,20,34726
Paid Reservation,SBE2186,Villa Cora,LW0850,Amathus Beach Hotel Limassol,1,1199
Paid Reservation,SBE6078,Emerald Zanzibar Resort & Spa,LW0850,Amathus Beach Hotel Limassol,1,2774
Paid Reservation,SBE1602,Grand Hotel Les Trois Rois,LW2772,Ambiente A Landscape Hotel,1,1398
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW9504,Anantara New York Palace Budapest,1,957
Paid Reservation,SBE0108,Hotel Sacher Wien,LW9504,Anantara New York Palace Budapest,3,2331
Paid Reservation,SBE0351,Hotel Kämp,LW9504,Anantara New York Palace Budapest,1,987
Paid Reservation,SBE0722,Colombi Hotel,LW9504,Anantara New York Palace Budapest,1,1138
Paid Reservation,SBE1502,Grand Hotel Stockholm,LW9504,Anantara New York Palace Budapest,1,656
Paid Reservation,SBE1819,Rayavadee,LW9504,Anantara New York Palace Budapest,1,1607
Paid Reservation,SBE1924,Grace Bay Club,LW9504,Anantara New York Palace Budapest,1,2322
Paid Reservation,SBE2184,Alpina Dolomites,LW9504,Anantara New York Palace Budapest,1,356
Paid Reservation,SBE2186,Villa Cora,LW9504,Anantara New York Palace Budapest,2,2683
Paid Reservation,SBE3055,The Grand Mark Prague,LW9504,Anantara New York Palace Budapest,1,721
Paid Reservation,SBE9508,Kozmo Hotel Suites & Spa,LW9504,Anantara New York Palace Budapest,1,1193
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW2212,Anantara Palazzo Naiadi Rome,1,732
Paid Reservation,SBE1422,Bahia del Duque,LW2212,Anantara Palazzo Naiadi Rome,1,4453
Paid Reservation,SBE1616,Suvretta House,LW2212,Anantara Palazzo Naiadi Rome,1,4400
Paid Reservation,SBE1622,Lausanne Palace,LW2212,Anantara Palazzo Naiadi Rome,1,2001
Paid Reservation,SBE0609,Hotel Royal - Evian Resort,LW0665,Anantara Plaza Nice Hotel,2,850
Paid Reservation,SBE0652,Villa Maia,LW0665,Anantara Plaza Nice Hotel,1,1026
Paid Reservation,SBE0825,Lesante Cape Resort & Villas,LW0665,Anantara Plaza Nice Hotel,1,3143
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0665,Anantara Plaza Nice Hotel,1,810
Paid Reservation,SBE1450,Cap Vermell Grand Hotel,LW0665,Anantara Plaza Nice Hotel,1,612
Paid Reservation,SBE1613,Badrutt's Palace Hotel,LW0665,Anantara Plaza Nice Hotel,2,5602
Paid Reservation,SBE2112,Villa d'Este,LW0665,Anantara Plaza Nice Hotel,1,2026
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0556,Anantara The Marker Dublin Hotel,1,1358
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW0556,Anantara The Marker Dublin Hotel,2,1338
Paid Reservation,SBE0850,Amathus Beach Hotel Limassol,LW0556,Anantara The Marker Dublin Hotel,1,1172
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0556,Anantara The Marker Dublin Hotel,1,303
Paid Reservation,SBE1306,Vila Vita Parc,LW0556,Anantara The Marker Dublin Hotel,1,359
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW0556,Anantara The Marker Dublin Hotel,1,952
Paid Reservation,SBE1410,Hotel Puente Romano Beach Resort,LW0556,Anantara The Marker Dublin Hotel,1,1341
Paid Reservation,SBE1418,Seaside Grand Hotel Residencia,LW0556,Anantara The Marker Dublin Hotel,1,447
Paid Reservation,SBE1450,Cap Vermell Grand Hotel,LW0556,Anantara The Marker Dublin Hotel,1,228
Paid Reservation,SBE1741,The Hay-Adams,LW0556,Anantara The Marker Dublin Hotel,3,3320
Paid Reservation,SBE2206,Relais San Maurizio,LW0556,Anantara The Marker Dublin Hotel,2,731
Paid Reservation,SBE3650,Grand Palace Hotel,LW0556,Anantara The Marker Dublin Hotel,1,436
Paid Reservation,SBE6003,La Mamounia,LW0556,Anantara The Marker Dublin Hotel,1,322
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1426,Anantara Villa Padierna Palace,3,2929
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1426,Anantara Villa Padierna Palace,5,7720
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW1426,Anantara Villa Padierna Palace,2,4465
Paid Reservation,SBE3651,Schlössle Hotel,LW1426,Anantara Villa Padierna Palace,1,2993
Paid Reservation,SBE3155,"Ananti Resort, Residences & Beach Club",LW3155,"Ananti Resort, Residences & Beach Club",9,46391
Paid Reservation,SBE9520,Square Nine Hotel Belgrade,LW3155,"Ananti Resort, Residences & Beach Club",1,8818
Paid Reservation,SBE0852,Anassa,LW0852,Anassa,1,1461
Paid Reservation,SBE0651,Fauchon L'Hotel - Paris,LW0823,Antigon Urban Chic Hotel,1,558
Paid Reservation,SBE0823,Antigon Urban Chic Hotel,LW0823,Antigon Urban Chic Hotel,1,127
Paid Reservation,SBE7010,Alvear Palace Hotel,LW7042,Arakur Ushuaia Resort & Spa,1,2963
Paid Reservation,SBE7042,Arakur Ushuaia Resort & Spa,LW7042,Arakur Ushuaia Resort & Spa,23,33669
Paid Reservation,SBE1607,Victoria-Jungfrau Grand Hotel & Spa,LW2210,ARIA Retreat & SPA,2,6001
Paid Reservation,SBE1614,Kulm Hotel St. Moritz,LW2210,ARIA Retreat & SPA,1,4830
Paid Reservation,SBE2210,ARIA Retreat & SPA,LW2210,ARIA Retreat & SPA,1,1098
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW0659,"Armancette Hotel, Chalets & Spa",2,1164
Paid Reservation,SBE0659,"Armancette Hotel, Chalets & Spa",LW0659,"Armancette Hotel, Chalets & Spa",18,32793
Paid Reservation,SBE1422,Bahia del Duque,LW0659,"Armancette Hotel, Chalets & Spa",1,847
Paid Reservation,SBE1612,Le Mirador Resort and Spa,LW0659,"Armancette Hotel, Chalets & Spa",1,1416
Paid Reservation,SBE1649,Royal Savoy Hotel & Spa Lausanne,LW0659,"Armancette Hotel, Chalets & Spa",1,748
Paid Reservation,SBE0150,Sport Hotel Hermitage & Spa,LW1436,Asia Gardens Hotel & Thai Spa,2,3309
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1436,Asia Gardens Hotel & Thai Spa,1,1642
Paid Reservation,SBE0301,d'Angleterre,LW1436,Asia Gardens Hotel & Thai Spa,1,2514
Paid Reservation,SBE1306,Vila Vita Parc,LW1436,Asia Gardens Hotel & Thai Spa,1,2014
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1436,Asia Gardens Hotel & Thai Spa,1,2299
Paid Reservation,SBE1422,Bahia del Duque,LW1436,Asia Gardens Hotel & Thai Spa,1,1226
Paid Reservation,SBE1436,Asia Gardens Hotel & Thai Spa,LW1436,Asia Gardens Hotel & Thai Spa,886,1364096
Paid Reservation,SBE6003,La Mamounia,LW1436,Asia Gardens Hotel & Thai Spa,1,385
Paid Reservation,SBE0110,Hotel Weisses Rössl Kitzbühel,LW2016,AZUR Legacy Collection Hotel,1,1537
Paid Reservation,SBE1635,Hotel des Trois Couronnes,LW2016,AZUR Legacy Collection Hotel,1,360
Paid Reservation,SBE2016,AZUR Legacy Collection Hotel,LW2016,AZUR Legacy Collection Hotel,13,9109
Paid Reservation,SBE0108,Hotel Sacher Wien,LW1613,Badrutt's Palace Hotel,3,8976
Paid Reservation,SBE0430,The Landmark London,LW1613,Badrutt's Palace Hotel,1,7678
Paid Reservation,SBE1606,Gstaad Palace,LW1613,Badrutt's Palace Hotel,1,1920
Paid Reservation,SBE1613,Badrutt's Palace Hotel,LW1613,Badrutt's Palace Hotel,30,143930
Paid Reservation,SBE1626,Baur au Lac,LW1613,Badrutt's Palace Hotel,3,23235
Paid Reservation,SBE1643,Park Hotel Vitznau,LW1613,Badrutt's Palace Hotel,1,927
Paid Reservation,SBE2112,Villa d'Este,LW1613,Badrutt's Palace Hotel,1,5960
Paid Reservation,SBE2120,Due Torri Hotel,LW1613,Badrutt's Palace Hotel,1,2874
Paid Reservation,SBE2215,Casa Baglioni,LW2133,Baglioni Hotel Carlton,1,422
Paid Reservation,SBE0428,Baglioni Hotel London,LW0428,Baglioni Hotel London,11,21249
Paid Reservation,SBE0821,Lesante Blu Exclusive Beach Resort,LW0428,Baglioni Hotel London,1,557
Paid Reservation,SBE2762,Parker Palm Springs,LW0428,Baglioni Hotel London,1,1390
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW2148,Baglioni Hotel Luna,1,2422
Paid Reservation,SBE1924,Grace Bay Club,LW2148,Baglioni Hotel Luna,1,2332
Paid Reservation,SBE2112,Villa d'Este,LW2148,Baglioni Hotel Luna,2,13295
Paid Reservation,SBE2126,Grand Hotel Excelsior Vittoria,LW2148,Baglioni Hotel Luna,3,15229
Paid Reservation,SBE2148,Baglioni Hotel Luna,LW2148,Baglioni Hotel Luna,11,29773
Paid Reservation,SBE2178,J.K. Place Roma,LW2148,Baglioni Hotel Luna,1,2957
Paid Reservation,SBE2186,Villa Cora,LW2148,Baglioni Hotel Luna,1,6585
Paid Reservation,SBE6003,La Mamounia,LW2148,Baglioni Hotel Luna,1,8473
Paid Reservation,SBE0150,Sport Hotel Hermitage & Spa,LW2179,Baglioni Hotel Regina,1,784
Paid Reservation,SBE0825,Lesante Cape Resort & Villas,LW2179,Baglioni Hotel Regina,1,1472
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW2179,Baglioni Hotel Regina,1,4697
Paid Reservation,SBE1626,Baur au Lac,LW2179,Baglioni Hotel Regina,2,4682
Paid Reservation,SBE2103,Hassler Roma,LW2179,Baglioni Hotel Regina,3,12645
Paid Reservation,SBE2112,Villa d'Este,LW2179,Baglioni Hotel Regina,2,7855
Paid Reservation,SBE2126,Grand Hotel Excelsior Vittoria,LW2179,Baglioni Hotel Regina,1,2889
Paid Reservation,SBE2179,Baglioni Hotel Regina,LW2179,Baglioni Hotel Regina,32,110726
Paid Reservation,SBE2193,Palazzo Avino,LW2179,Baglioni Hotel Regina,1,2357
Paid Reservation,SBE2197,J.K. Place Capri,LW2179,Baglioni Hotel Regina,1,1324
Paid Reservation,SBE2214,Casa Angelina,LW2179,Baglioni Hotel Regina,2,2027
Paid Reservation,SBE2741,Villa Mara Carmel,LW2179,Baglioni Hotel Regina,1,2321
Paid Reservation,SBE2824,Palace Hotel Tokyo,LW2179,Baglioni Hotel Regina,1,2780
Paid Reservation,SBE2853,Baglioni Resort Maldives,LW2853,Baglioni Resort Maldives,4,37314
Paid Reservation,SBE0108,Hotel Sacher Wien,LW2198,Baglioni Resort Sardinia,2,3391
Paid Reservation,SBE1868,The Datai Langkawi,LW2198,Baglioni Resort Sardinia,1,4961
Paid Reservation,SBE2198,Baglioni Resort Sardinia,LW2198,Baglioni Resort Sardinia,9,51061
Paid Reservation,SBE2214,Casa Angelina,LW2198,Baglioni Resort Sardinia,1,4172
Paid Reservation,SBE2710,Acqualina Resort & Residences on the Beach,LW2198,Baglioni Resort Sardinia,1,12796
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW2169,Bagni di Pisa Palace and Thermal Spa,1,666
Paid Reservation,SBE2131,Villa La Massa,LW2169,Bagni di Pisa Palace and Thermal Spa,1,1052
Paid Reservation,SBE6062,"Saxon Hotel, Villas & Spa",LW2169,Bagni di Pisa Palace and Thermal Spa,1,2045
Paid Reservation,SBE0108,Hotel Sacher Wien,LW1422,Bahia del Duque,2,4619
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1422,Bahia del Duque,1,3289
Paid Reservation,SBE0825,Lesante Cape Resort & Villas,LW1422,Bahia del Duque,2,6259
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1422,Bahia del Duque,4,8970
Paid Reservation,SBE1422,Bahia del Duque,LW1422,Bahia del Duque,132,385836
Paid Reservation,SBE2126,Grand Hotel Excelsior Vittoria,LW1422,Bahia del Duque,1,1125
Paid Reservation,SBE2189,The Phoenicia,LW1422,Bahia del Duque,1,1546
Paid Reservation,SBE0108,Hotel Sacher Wien,LW1311,Bairro Alto Hotel,2,3217
Paid Reservation,SBE0703,Excelsior Hotel Ernst,LW1311,Bairro Alto Hotel,3,6945
Paid Reservation,SBE1311,Bairro Alto Hotel,LW1311,Bairro Alto Hotel,218,426071
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1311,Bairro Alto Hotel,1,1254
Paid Reservation,SBE1626,Baur au Lac,LW1311,Bairro Alto Hotel,1,746
Paid Reservation,SBE2103,Hassler Roma,LW1311,Bairro Alto Hotel,1,2104
Paid Reservation,SBE2112,Villa d'Este,LW1311,Bairro Alto Hotel,2,7915
Paid Reservation,SBE2114,Grand Hotel et de Milan,LW1311,Bairro Alto Hotel,1,2387
Paid Reservation,SBE2701,"The Setai, Miami Beach",LW1311,Bairro Alto Hotel,1,870
Paid Reservation,SBE2748,San Ysidro Ranch,LW1311,Bairro Alto Hotel,1,743
Paid Reservation,SBE2824,Palace Hotel Tokyo,LW1311,Bairro Alto Hotel,1,519
Paid Reservation,SBE6003,La Mamounia,LW1311,Bairro Alto Hotel,1,563
Paid Reservation,SBE7035,Hotel Fasano Rio de Janeiro,LW1311,Bairro Alto Hotel,1,2198
Paid Reservation,SBE3504,Barvikha Hotel & Spa,LW3504,Barvikha Hotel & Spa,3,3798
Paid Reservation,SBE8430,The Merrion Hotel,LW2107,Bauer Palazzo,1,2319
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW1626,Baur au Lac,1,981
Paid Reservation,SBE0108,Hotel Sacher Wien,LW1626,Baur au Lac,4,15950
Paid Reservation,SBE0301,d'Angleterre,LW1626,Baur au Lac,2,6073
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1626,Baur au Lac,2,8255
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW1626,Baur au Lac,2,3401
Paid Reservation,SBE1607,Victoria-Jungfrau Grand Hotel & Spa,LW1626,Baur au Lac,8,12602
Paid Reservation,SBE1608,Beau-Rivage Palace,LW1626,Baur au Lac,4,13722
Paid Reservation,SBE1612,Le Mirador Resort and Spa,LW1626,Baur au Lac,2,1779
Paid Reservation,SBE1613,Badrutt's Palace Hotel,LW1626,Baur au Lac,1,1513
Paid Reservation,SBE1614,Kulm Hotel St. Moritz,LW1626,Baur au Lac,1,677
Paid Reservation,SBE1616,Suvretta House,LW1626,Baur au Lac,2,4340
Paid Reservation,SBE1620,Riffelalp Resort 2222m,LW1626,Baur au Lac,1,5646
Paid Reservation,SBE1622,Lausanne Palace,LW1626,Baur au Lac,1,11650
Paid Reservation,SBE1624,Hotel Schweizerhof Bern & Spa,LW1626,Baur au Lac,1,3494
Paid Reservation,SBE1626,Baur au Lac,LW1626,Baur au Lac,171,489307
Paid Reservation,SBE1642,"Beau-Rivage, Geneve",LW1626,Baur au Lac,1,4877
Paid Reservation,SBE1643,Park Hotel Vitznau,LW1626,Baur au Lac,2,4427
Paid Reservation,SBE1741,The Hay-Adams,LW1626,Baur au Lac,1,728
Paid Reservation,SBE2014,The Hazelton Hotel,LW1626,Baur au Lac,1,501
Paid Reservation,SBE2112,Villa d'Este,LW1626,Baur au Lac,2,2753
Paid Reservation,SBE2114,Grand Hotel et de Milan,LW1626,Baur au Lac,3,3845
Paid Reservation,SBE2136,Grand Hotel Quisisana,LW1626,Baur au Lac,1,5278
Paid Reservation,SBE2204,J.K. Place Paris,LW1626,Baur au Lac,5,18740
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW0707,Bayerischer Hof,2,2833
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0707,Bayerischer Hof,4,3412
Paid Reservation,SBE0117,Palais Coburg Residenz,LW0707,Bayerischer Hof,3,1957
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0707,Bayerischer Hof,1,1039
Paid Reservation,SBE1320,Maison Albar Le Monumental Palace,LW0707,Bayerischer Hof,1,1585
Paid Reservation,SBE1502,Grand Hotel Stockholm,LW0707,Bayerischer Hof,1,2510
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW0707,Bayerischer Hof,1,975
Paid Reservation,SBE1614,Kulm Hotel St. Moritz,LW0707,Bayerischer Hof,1,642
Paid Reservation,SBE1616,Suvretta House,LW0707,Bayerischer Hof,2,1721
Paid Reservation,SBE2721,Hotel Granduca Houston,LW0707,Bayerischer Hof,1,473
Paid Reservation,SBE3055,The Grand Mark Prague,LW0707,Bayerischer Hof,1,424
Paid Reservation,SBE3108,Bodrum Loft,LW0707,Bayerischer Hof,1,2496
Paid Reservation,SBE3109,Sumahan on the Water,LW0707,Bayerischer Hof,1,1420
Paid Reservation,SBE0103,Hotel Sacher Salzburg,LW1608,Beau-Rivage Palace,1,4363
Paid Reservation,SBE0108,Hotel Sacher Wien,LW1608,Beau-Rivage Palace,1,1308
Paid Reservation,SBE0117,Palais Coburg Residenz,LW1608,Beau-Rivage Palace,1,1453
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1608,Beau-Rivage Palace,3,7853
Paid Reservation,SBE1607,Victoria-Jungfrau Grand Hotel & Spa,LW1608,Beau-Rivage Palace,3,4913
Paid Reservation,SBE1608,Beau-Rivage Palace,LW1608,Beau-Rivage Palace,96,177642
Paid Reservation,SBE1612,Le Mirador Resort and Spa,LW1608,Beau-Rivage Palace,1,820
Paid Reservation,SBE1616,Suvretta House,LW1608,Beau-Rivage Palace,2,4375
Paid Reservation,SBE1618,The Dolder Grand,LW1608,Beau-Rivage Palace,2,3796
Paid Reservation,SBE1622,Lausanne Palace,LW1608,Beau-Rivage Palace,9,22822
Paid Reservation,SBE1624,Hotel Schweizerhof Bern & Spa,LW1608,Beau-Rivage Palace,1,2007
Paid Reservation,SBE1626,Baur au Lac,LW1608,Beau-Rivage Palace,3,1804
Paid Reservation,SBE1635,Hotel des Trois Couronnes,LW1608,Beau-Rivage Palace,2,1088
Paid Reservation,SBE2112,Villa d'Este,LW1608,Beau-Rivage Palace,1,5628
Paid Reservation,SBE2192,The Ashbee Hotel,LW1608,Beau-Rivage Palace,1,2355
Paid Reservation,SBE2201,Capri Tiberio Palace,LW1608,Beau-Rivage Palace,1,972
Paid Reservation,SBE6009,Royal Mansour Marrakech,LW1608,Beau-Rivage Palace,1,1853
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW1642,"Beau-Rivage, Geneve",1,3010
Paid Reservation,SBE1601,Grand Resort Bad Ragaz,LW1642,"Beau-Rivage, Geneve",3,4379
Paid Reservation,SBE1622,Lausanne Palace,LW1642,"Beau-Rivage, Geneve",1,2028
Paid Reservation,SBE1626,Baur au Lac,LW1642,"Beau-Rivage, Geneve",1,5732
Paid Reservation,SBE1642,"Beau-Rivage, Geneve",LW1642,"Beau-Rivage, Geneve",22,59241
Paid Reservation,SBE1644,LeCrans,LW1642,"Beau-Rivage, Geneve",2,3262
Paid Reservation,SBE2112,Villa d'Este,LW1642,"Beau-Rivage, Geneve",1,2089
Paid Reservation,SBE2120,Due Torri Hotel,LW1642,"Beau-Rivage, Geneve",1,2716
Paid Reservation,SBE2766,Nobu Hotel Chicago,LW1642,"Beau-Rivage, Geneve",1,1174
Paid Reservation,SBE0807,Danai Beach Resort & Villas,LW2859,Bellagio Shanghai,2,4236
Paid Reservation,SBE1603,Bellevue Palace Bern,LW1603,Bellevue Palace Bern,37,40283
Paid Reservation,SBE1626,Baur au Lac,LW1603,Bellevue Palace Bern,4,7438
Paid Reservation,SBE1643,Park Hotel Vitznau,LW1603,Bellevue Palace Bern,1,1415
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1447,BLESS Hotel Madrid,1,1457
Paid Reservation,SBE0301,d'Angleterre,LW1447,BLESS Hotel Madrid,1,1808
Paid Reservation,SBE0638,Terre Blanche Hotel Spa Golf Resort,LW1447,BLESS Hotel Madrid,1,545
Paid Reservation,SBE1320,Maison Albar Le Monumental Palace,LW1447,BLESS Hotel Madrid,1,1545
Paid Reservation,SBE1612,Le Mirador Resort and Spa,LW1447,BLESS Hotel Madrid,1,1315
Paid Reservation,SBE0108,Hotel Sacher Wien,LW1448,BLESS Ibiza,1,6913
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW1448,BLESS Ibiza,1,2783
Paid Reservation,SBE2214,Casa Angelina,LW1448,BLESS Ibiza,1,1826
Paid Reservation,SBE2866,The RuMa Hotel and Residences,LW1448,BLESS Ibiza,1,1314
Paid Reservation,SBE6024,Maradiva Villas Resort & Spa,LW1448,BLESS Ibiza,1,5260
Paid Reservation,SBE3108,Bodrum Loft,LW3108,Bodrum Loft,3,10753
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW2174,Borgo Egnazia,1,4650
Paid Reservation,SBE1436,Asia Gardens Hotel & Thai Spa,LW2174,Borgo Egnazia,1,4588
Paid Reservation,SBE1622,Lausanne Palace,LW2174,Borgo Egnazia,1,3342
Paid Reservation,SBE6003,La Mamounia,LW2174,Borgo Egnazia,1,2200
Paid Reservation,SBE2186,Villa Cora,LW2208,Borgo Santo Pietro,2,12270
Paid Reservation,SBE2208,Borgo Santo Pietro,LW2208,Borgo Santo Pietro,24,126331
Paid Reservation,SBE6003,La Mamounia,LW2208,Borgo Santo Pietro,1,1579
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW2221,Botania Relais & Spa,1,2749
Paid Reservation,SBE2136,Grand Hotel Quisisana,LW2221,Botania Relais & Spa,1,2140
Paid Reservation,SBE2157,Terme di Saturnia Natural SPA & Golf Resort,LW2221,Botania Relais & Spa,1,1646
Paid Reservation,SBE2189,The Phoenicia,LW2221,Botania Relais & Spa,1,2400
Paid Reservation,SBE2762,Parker Palm Springs,LW2221,Botania Relais & Spa,1,1812
Paid Reservation,SBE0108,Hotel Sacher Wien,LW0205,Botanic Sanctuary Antwerp,1,757
Paid Reservation,SBE0205,Botanic Sanctuary Antwerp,LW0205,Botanic Sanctuary Antwerp,1622,1100104
Paid Reservation,SBE0250,Le Royal Hotels & Resorts,LW0205,Botanic Sanctuary Antwerp,1,544
Paid Reservation,SBE0351,Hotel Kämp,LW0205,Botanic Sanctuary Antwerp,1,1734
Paid Reservation,SBE0649,The Hotel Chais Monnet & Spa,LW0205,Botanic Sanctuary Antwerp,1,421
Paid Reservation,SBE0651,Fauchon L'Hotel - Paris,LW0205,Botanic Sanctuary Antwerp,1,631
Paid Reservation,SBE0652,Villa Maia,LW0205,Botanic Sanctuary Antwerp,1,528
Paid Reservation,SBE0654,Maison Albar Hotels L'Imperator,LW0205,Botanic Sanctuary Antwerp,2,1792
Paid Reservation,SBE0703,Excelsior Hotel Ernst,LW0205,Botanic Sanctuary Antwerp,3,4890
Paid Reservation,SBE0825,Lesante Cape Resort & Villas,LW0205,Botanic Sanctuary Antwerp,2,717
Paid Reservation,SBE0902,Hotel Okura Amsterdam,LW0205,Botanic Sanctuary Antwerp,7,4748
Paid Reservation,SBE0905,Hotel des Indes,LW0205,Botanic Sanctuary Antwerp,1,620
Paid Reservation,SBE1311,Bairro Alto Hotel,LW0205,Botanic Sanctuary Antwerp,1,1295
Paid Reservation,SBE1409,Marbella Club Hotel Golf Resort & Spa,LW0205,Botanic Sanctuary Antwerp,1,1774
Paid Reservation,SBE1410,Hotel Puente Romano Beach Resort,LW0205,Botanic Sanctuary Antwerp,2,1774
Paid Reservation,SBE1620,Riffelalp Resort 2222m,LW0205,Botanic Sanctuary Antwerp,2,1749
Paid Reservation,SBE1635,Hotel des Trois Couronnes,LW0205,Botanic Sanctuary Antwerp,1,503
Paid Reservation,SBE2103,Hassler Roma,LW0205,Botanic Sanctuary Antwerp,1,1159
